Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Culpabilidade,Antecedentes,Personalidade do Agente,Circunstâncias do Crime,Pena-Base Minimo?,Reincidência,Contra Criança/Idoso/Enfermo/Grávida,Menor de 21 ou Maior de 70,Confissão Espontânea,Pena Provisória,Crime Tentado,Concurso de Pessoas,Restrição de Liberdade da Vítima,Arma Branca,Arma de Fogo,Conversão da Pena
0000029-26.2018.8.26.0291,Roubo Majorado,Jaboticabal,Vara Criminal,Leandro Galluzzi dos Santos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,N/A,Não,Sim,N/A
0000029-72.2015.8.26.0536,Roubo Majorado,Guarujá,2ª Vara Criminal,André Rossi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000051-31.2018.8.26.0438,Roubo Majorado,Penápolis,2ª Vara,Dr(a). Paulo Victor Alvares Gonçalves,2250,3093,Alta ou acentuada,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0000097-51.2017.8.26.0536,Roubo Majorado,Cubatão,3ª Vara,Dr(a). Fernanda Regina Balbi Lombardi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000121-41.2018.8.26.0408,Roubo Majorado,Ourinhos,1ª Vara Criminal,Dr(a). Raquel Grellet Pereira Bernardi,1470,3240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,Sim,N/A,N/A,Sim,Não convertida
0000149-15.2017.8.26.0094,Roubo Majorado,Brodowski,Vara Única,CAROLINA NUNES VIEIRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000214-17.2014.8.26.0352,Roubo Majorado,Miguelópolis,1ª Vara,ELISA LEONESI MALUF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000229-79.2018.8.26.0599,Roubo Majorado,Piracicaba,3ª Vara Criminal,Rodrigo Pares Andreucci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000245-68.2022.8.26.0348,Roubo Majorado,Mauá,2ª Vara Criminal,Paulo Antonio Canali Campanella,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A
0000256-06.2022.8.26.0540,Roubo Majorado,Santo André,1ª Vara Criminal,Maria Sílvia Gabrielloni Feichtenberger,2051,2835,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Sim,Sim,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0000273-25.2016.8.26.0355,Roubo Majorado,Miracatu,2ª Vara,BRUNO DELLO RUSSO OLIVEIRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A,Sim,N/A
0000328-03.2015.8.26.0616,Roubo Majorado,Itaquaquecetuba,1ª Vara Criminal,Dra. Érica Pereira de Sousa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000394-35.2016.8.26.0070,Roubo Majorado,Batatais,Vara Criminal,Dr(a). Aline de Oliveira Machado Bonesso Pereira de Carvalho,N/A,2370,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Não,Não,Não,Não convertida
0000415-64.2018.8.26.0547,Roubo Majorado,Santa Rita do Passa Quatro,2ª Vara,THIAGO ZAMPIERI DA COSTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000469-35.2017.8.26.0104,Roubo Majorado,Cafelândia,Vara Única,Dr. Octavio Santos Antunes,3636,3391,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000493-53.2019.8.26.0699,Roubo Majorado,Salto de Pirapora,Vara Única,Dr(a). Thais Galvão Camilher Peluzo,N/A,N/A,N/A,N/A,N/A,Desfavoráveis,N/A,N/A,Não,Não,Não,N/A,Sim,Sim,Sim,Não,Sim,N/A
0000500-06.2021.8.26.0269,Roubo Majorado,Itapetininga,1ª Vara Criminal,Dr(a). ANDRE LUIS BASTOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000502-86.2015.8.26.0559,Roubo Majorado,Potirendaba,Vara Única,Dr(a). Marco Antônio Costa Neves Buchala,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000508-89.2016.8.26.0646,Roubo Majorado,Urânia,Vara Única,Marcela Corrêa Dias de Souza,1945,3746,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Sim,Não,Não,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0000520-24.2019.8.26.0315,Roubo Majorado,Laranjal Paulista,1Âª Vara,ELIANE CRISTINA CINTO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000521-85.2017.8.26.0474,Roubo Majorado,Potirendaba,Vara Única,Dr(a). Marco Antônio Costa Neves Buchala,2190,10950,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Não,Sim,Sim,Sim,Sim,Não convertida
0000570-31.2018.8.26.0559,Roubo Majorado,São José do Rio Preto,4ª Vara Criminal,Maria Letícia Pozzi Buassi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,Sim,N/A,N/A,N/A,N/A
0000581-98.2018.8.26.0514,Roubo Majorado,Itupeva,Vara Única,HELOISA HELENA PALHARES MONTENEGRO DE MORAES,N/A,2595,Alta ou acentuada,Maus antecedentes,Neutra ou inconclusiva,Normais ou neutras,Não no mínimo,Não,Não,Não,Não,N/A,Não,Sim,Sim,Sim,Não,Não convertida
0000588-09.2018.8.26.0153,Roubo Majorado,Cravinhos,2ª Vara,GABRIEL ALVES BUENO PEREIRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000596-37.2016.8.26.0094,Roubo Majorado,Brodowski,Vara Única,CAROLINA NUNES VIEIRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000603-31.2021.8.26.0069,Roubo Majorado,Bastos,Vara Única,PAOLO PELLEGRINI JUNIOR,1470,4410,Alta ou acentuada,Primário ou sem antecedentes,N/A,Desfavoráveis,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Sim,Não,Não,Sim,Não convertida
0000613-52.2022.8.26.0615,Roubo Majorado,Tanabi,1ª Vara,TIAGO OCTAVIANI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000642-34.2016.8.26.0156,Roubo Majorado,Cruzeiro,Vara Criminal,Dr(a). Claudionor Antonio Contri Junior,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000656-19.2019.8.26.0348,Roubo Majorado,Mauá,1ª Vara Criminal,SANDRO RAFAEL BARBOSA PACHECO,1460,756,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Sim,Sim,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0000666-50.2012.8.26.0076,Roubo Majorado,Fernandópolis,2ª Vara Criminal,VINICIUS CASTREQUINI BUFULIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000677-43.2010.8.26.0240,Roubo Majorado,Iepê,Vara Única,RENATA ESSER DE SOUZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000701-08.2022.8.26.0319,Roubo Majorado,Lençóis Paulista,3ª Vara Cumulativa,Dr. Jose Luis Pereira Andrade,1711,2018,Alta ou acentuada,Primário ou sem antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Não,Não,Sim,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
0000740-68.2017.8.26.0581,Roubo Majorado,São Manuel,1ª Vara,CERES DE OLIVEIRA DANCKWARDT,1825,2280,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Sim,Sim,Sim,Não convertida
0000745-77.2017.8.26.0068,Roubo Majorado,São Roque,1ª Vara Criminal,Flavio Roberto de Carvalho,1825,2520,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
0000774-85.1996.8.26.0223,Roubo Majorado,Guarujá,1ª Vara Criminal,Dr(a). Denise Gomes Bezerra Mota,N/A,5775,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000847-22.2017.8.26.0514,Roubo Majorado,Itupeva,Vara Única,LUIZ GUSTAVO PRIMON,N/A,2280,Alta ou acentuada,Primário ou sem antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
0000861-03.2015.8.26.0279,Roubo Majorado,Itararé,1ª Vara,JOCIMAR DAL CHIAVON,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000959-45.2019.8.26.0150,Roubo Majorado,Cosmópolis,1ª Vara Judicial,Maria Thereza Nogueira Pinto,10,13,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0001029-27.2017.8.26.0540,Roubo Majorado,Santo André,3ª Vara Criminal,Jarbas Luiz dos Santos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001055-78.2018.8.26.0123,Roubo Majorado,Capão Bonito,2ª Vara,Éverton Willian Pona,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001058-46.2018.8.26.0248,Roubo Majorado,Indaiatuba,1ª Vara Criminal,JOSE EDUARDO DA COSTA,N/A,N/A,N/A,Maus antecedentes,N/A,Desfavoráveis,N/A,N/A,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,N/A
0001061-65.2009.8.26.0458,Roubo Majorado,Piratininga,Vara Única,FERNANDO BALDI MARCHETTI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001073-71.2018.8.26.0294,Roubo Majorado,Jacupiranga,1ª Vara,Dr(a). Gabriela de Oliveira Thomaze,1460,2310,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
0001141-87.2012.8.26.0534,Roubo Majorado,Santa Branca,Vara Única,Dr(a). Adriana Vicentin Pezzatti de Carvalho,1460,2005,Alta ou acentuada,N/A,N/A,Desfavoráveis,Sim no mínimo,N/A,Não,Não,Não,N/A,Não,Sim,Não,Não,Sim,Não convertida
0001271-59.2016.8.26.0042,Roubo Majorado,Altinópolis,Vara Única,ALEKSANDER CORONADO BRAIDO DA SILVA,N/A,2555,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001322-61.2013.8.26.0564,Roubo Majorado,São Bernardo do Campo,3ª Vara Criminal,Edegar de Sousa Castro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001489-43.2018.8.26.0616,Roubo Majorado,Suzano,2ª Vara Criminal,Dr(a). José Eugenio Do Amaral Souza Neto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001510-19.2018.8.26.0616,Roubo Majorado,Itaquaquecetuba,1ª Vara Criminal,ERICA PEREIRA DE SOUSA,N/A,N/A,N/A,Maus antecedentes,N/A,Desfavoráveis,N/A,Uma condenação,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
0001623-14.2015.8.26.0604,Roubo Majorado,Sumaré,2ª Vara Criminal,Marcus Cunha Rodrigues,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001728-06.2022.8.26.0358,Roubo Majorado,Mirassol,3ª Vara,Marcos Takaoka,1470,3783,Alta ou acentuada,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0001786-14.2016.8.26.0101,Roubo Majorado,Caçapava,Vara Criminal,Gustavo de Campos Machado,1460,3285,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Sim,Sim,Sim,Sim,Não convertida
0001828-14.2012.8.26.0292,Roubo Majorado,Jacareí,2ª Vara Criminal,FERNANDA AMBROGI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001870-22.2016.8.26.0616,Roubo Majorado,Suzano,2ª Vara Criminal,Dr(a). José Eugenio Do Amaral Souza Neto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001922-20.2015.8.26.0271,Roubo Majorado,Itapevi,Vara Criminal,Udo Wolff Dick Appolo Do Amaral,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002109-31.2016.8.26.0291,Roubo Majorado,Jaboticabal,Vara Criminal,JULIANA FRANCINI DOS REIS COSTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002122-31.2017.8.26.0150,Roubo Majorado,Cosmópolis,1ª Vara Judicial,Maria Thereza Nogueira Pinto,1700,2635,Alta ou acentuada,Maus antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Múltiplas condenações,Não,Não,Não,N/A,Não,Sim,Sim,Não,Sim,Não convertida
0002156-23.2017.8.26.0597,Roubo Majorado,Sertãozinho,1ª Vara Criminal,Angel Tomas Castroviejo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002272-81.2014.8.26.0355,Roubo Majorado,Miracatu,2ª Vara,BRUNO DELLO RUSSO OLIVEIRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002347-37.2016.8.26.0069,Roubo Majorado,Bastos,Vara Única,Dr. FABIO ALEXANDRE MARINELLI SOLA,1470,2205,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Sim,N/A,Não,Sim,Não,Não,Sim,Não convertida
0002351-68.2009.8.26.0312,Roubo Majorado,Juquiá,Vara Única,JULIANA SILVA FREITAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002582-86.2015.8.26.0538,Roubo Majorado,Santa Cruz das Palmeiras,Vara Única,GUILHERME MARTINS DAMINI,N/A,N/A,N/A,N/A,N/A,Desfavoráveis,N/A,N/A,Sim,Sim,N/A,N/A,Não,Sim,N/A,Sim,Não,N/A
