Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Culpabilidade,Antecedentes,Personalidade do Agente,Circunstâncias do Crime,Pena-Base Minimo?,Reincidência,Contra Criança/Idoso/Enfermo/Grávida,Menor de 21 ou Maior de 70,Confissão Espontânea,Pena Provisória,Crime Tentado,Concurso de Pessoas,Restrição de Liberdade da Vítima,Arma Branca,Arma de Fogo,Conversão da Pena
0000031-34.2021.8.26.0600,Roubo Simples,Promissao,1ª Vara Judicial,MOEMA MOREIRA PONCE LACERDA,1460,1748,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Não no mínimo,Múltiplas condenações,Não,Não,Sim,N/A,Não,Não,Não,Não,Não,Não convertida
0000046-36.2022.8.26.0610,Roubo Simples,Brodowski,Vara Única,CAROLINA NUNES VIEIRA,1460,910,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Múltiplas condenações,Não,Não,Sim,Diferente da base,Sim,Não,Não,Sim,Não,Não convertida
0000058-65.2017.8.26.0306,Roubo Simples,José Bonifácio,2ª Vara,Natália Berti,1845,2333,Alta ou acentuada,Primário ou sem antecedentes,Negativa ou desfavorável,Desfavoráveis,Não no mínimo,Não,Não,Não,Não,N/A,Não,Sim,Não,Não,Não,Não convertida
0000077-24.2022.8.26.0071,Roubo Simples,Bauru,1ª Vara Criminal,Dr(a). Érica Marcelina Cruz,1460,1295,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Sim,Não,Não,N/A,Sim,Sim,Sim,Não,Não,Não convertida
0000216-22.2014.8.26.0405,Roubo Simples,Osasco,2ª Vara Criminal,Dr(a). Ana Paula Achoa Mezher,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000265-13.2017.8.26.0323,Roubo Simples,Lorena,Vara Criminal,Dr. Daniel Otero Pereira da Costa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000339-09.2014.8.26.0635,Roubo Simples,SÃO PAULO,6ª Vara Criminal,Erika Soares de Azevedo Mascarenhas,N/A,2960,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Sim,Não,Não,Sim,Não convertida
0000397-49.2018.8.26.0642,Roubo Simples,Ubatuba,1ª Vara,ISABELLA CAROLINA MIRANDA RODRIGUES,N/A,N/A,Neutra ou comum,Maus antecedentes,N/A,Desfavoráveis,N/A,Uma condenação,Não,Sim,Não,N/A,Não,Sim,Sim,Não,Sim,N/A
0000485-22.1999.8.26.0588,Roubo Simples,São Sebastião da Grama,Vara Única,Valéria Carvalho dos Santos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000581-37.2014.8.26.0224,Roubo Simples,Guarulhos,5ª Vara Criminal,PRISCILA DEVECHI FERRAZ MAIA,N/A,730,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000627-41.2016.8.26.0358,Roubo Simples,Mirassol,2ª Vara,ANDRÉ DA FONSECA TAVARES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Não,Sim,Não,Sim,N/A
0000665-56.2020.8.26.0441,Roubo Simples,Peruíbe,2ª Vara,Danielle Camara Takahashi Cosentino Grandinetti,1825,2323,Neutra ou comum,Primário ou sem antecedentes,Neutra ou inconclusiva,Normais ou neutras,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Sim,Não,Não,Não,Não convertida
0000676-32.2018.8.26.0352,Roubo Simples,Miguelópolis,1ª Vara,José Magno Loureiro Júnior,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000718-18.2017.8.26.0352,Roubo Simples,Miguelópolis,1ª Vara,Dr(a). ELISA LEONESI MALUF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000759-24.2009.8.26.0268,Roubo Simples,Itapecerica da Serra,1ª Vara,LUCAS DADALTO SAHÃO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Não,Sim,N/A,Não,Sim,N/A
0000910-19.2017.8.26.0394,Roubo Simples,Nova Odessa,1ª Vara Judicial,Dra. ELIANE CASSIA DA CRUZ,1748,1958,Neutra ou comum,Maus antecedentes,Neutra ou inconclusiva,Desfavoráveis,Não no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Não,Não,Não,Não,Não convertida
0000912-58.2018.8.26.0101,Roubo Simples,Caçapava,Vara Criminal,Gustavo de Campos Machado,1460,1945,Alta ou acentuada,Primário ou sem antecedentes,Neutra ou inconclusiva,Desfavoráveis,Sim no mínimo,Não,Não,Não,Não,N/A,Não,Sim,Não,Não,Não,Não convertida
0001021-27.2011.8.26.0066,Roubo Simples,Barretos,2ª Vara Criminal,LUCIANO DE OLIVEIRA SILVA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001094-36.2017.8.26.0115,Roubo Simples,Campo Limpo Paulista,1ª Vara,MARCELO HENRIQUE MARIANO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001281-59.2014.8.26.0435,Roubo Simples,Pedreira,1ª Vara,IOHANA FRIZZARINI EXPOSITO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
