Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Confissão Espontânea,Comparação Pena Provisória,Crime Tentado,Repouso Noturno,Conversão da Pena
0000001-69.2013.8.26.0538,Furto Simples,Santa Cruz das Palmeiras,Vara Única,GUILHERME MARTINS DAMINI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000016-31.2018.8.26.0322,Furto Simples,Lins,1ª Vara Criminal,Dra. Jane Carrasco Alves Floriano,498,580,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Diferente da base,Não,Não,Não convertida
0000025-30.2022.8.26.0426,Furto Simples,Patrocínio Paulista,Vara Única,DANIEL DIEGO CARRIJO,N/A,N/A,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Diferente da base,Não,Sim,Não convertida
0000038-53.2015.8.26.0659,Furto Simples,Vinhedo,1ª Vara,Dr(a). Fábio Marcelo Holanda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000044-83.2017.8.26.0564,Furto Simples,São Bernardo do Campo,3ª Vara Criminal,Edegar de Sousa Castro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000088-79.2017.8.26.0022,Furto Simples,Amparo,1ª Vara,Fernando Leonardi Campanella,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000096-87.2017.8.26.0238,Furto Simples,Ibiúna,2ª Vara,Dr(a). Luiz Fernando Angiolucci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000125-82.2016.8.26.0591,Furto Simples,Tupi Paulista,2ª Vara,ALINE TABUCHI DA SILVA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000149-84.2018.8.26.0189,Furto Simples,Fernandópolis,1ª Vara Criminal,JULIANO SANTOS DE LIMA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000150-13.2001.8.26.0562,Furto Simples,Santos,6ª Vara Criminal,Silvana Amneris Rôlo Pereira Borges,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000156-88.2017.8.26.0358,Furto Simples,Mirassol,1ª Vara,Natália Berti,861,1415,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Diferente da base,Não,Não,Não convertida
0000162-58.2017.8.26.0435,Furto Simples,Pedreira,2ª Vara,Dayse Lemos de Oliveira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000198-92.2011.8.26.0247,Furto Simples,Ilhabela,1ª Vara,LUCAS GARBOCCI DA MOTTA,N/A,N/A,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,N/A,Não,Não,Não convertida
0000198-95.2017.8.26.0566,Furto Simples,São Carlos,3ª Vara Criminal,Dr. André Luiz de Macedo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000206-93.2018.8.26.0095,Furto Simples,Brotas,1ª Vara,MARCELA MACHADO MARTINIANO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000207-78.2018.8.26.0095,Furto Simples,Brotas,1ª Vara,MARCELA MACHADO MARTINIANO,375,246,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Diferente da base,Não,Sim,Convertida
0000234-17.2016.8.26.0488,Furto Simples,Queluz,Vara Única,LUCAS CAMPOS DE SOUZA,N/A,N/A,Não,Maus antecedentes,Sim no mínimo,Não,Não,Não,Diferente da base,Não,Não,Não convertida
0000295-91.2010.8.26.0291,Furto Simples,Jaboticabal,Vara Criminal,Dr(a). Leandro Galluzzi dos Santos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000329-46.2016.8.26.0456,Furto Simples,Pirapozinho,1ª Vara Judicial,ADRIANO CAMARGO PATUSSI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000391-84.2018.8.26.0628,Furto Simples,Itapecerica da Serra,1ª Vara,TALES NOVAES FRANCIS DICLER,375,375,Não,Primário ou sem antecedentes,Sim,Não,Não,Sim,Igual à base,Não,Não,Convertida
0000468-96.2018.8.26.0530,Furto Simples,Serrana,1ª Vara,Dr(a). Viviane Decnop Freitas Figueira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000492-73.2022.8.26.0534,Furto Simples,Santa Branca,Vara Única,Adriana Vicentin Pezzatti de Carvalho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000500-86.2018.8.26.0535,Furto Simples,Guarulhos,3ª Vara Criminal,ANDRE LUIZ DA SILVA DA CUNHA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000556-62.2021.8.26.0617,Furto Simples,São José dos Campos,2ª Vara Criminal,DENISE VIEIRA MOREIRA,730,498,Sim,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Sim,N/A,Sim,N/A,N/A
0000581-75.2017.8.26.0630,Furto Simples,Nova Odessa,1ª Vara Judicial,Letícia Lemos Rossi,6,6,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Diferente da base,Sim,Não,Não convertida
0000583-78.2022.8.26.0142,Furto Simples,Colina,Vara Única,FAULER FELIX DE AVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000600-83.2013.8.26.0125,Furto Simples,Capivari,2ª Vara,ANDRE LUIZ MARCONDES PONTES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000601-61.2016.8.26.0352,Furto Simples,Miguelópolis,1ª Vara,ELISA LEONESI MALUF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000614-97.2016.8.26.0275,Furto Simples,Itaporanga,Vara Única,VINICIUS JOSÉ CAETANO MACHADO DE LIMA,740,740,Sim,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Igual à base,Não,Sim,Convertida
0000617-20.2018.8.26.0069,Furto Simples,Bastos,Vara Única,FABIO ALEXANDRE MARINELLI SOLA,375,375,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Igual à base,Não,Não,Convertida
0000634-65.2017.8.26.0530,Furto Simples,Ribeirão Preto,1ª Vara Criminal,Guaracy Sibille Leite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000662-03.2016.8.26.0616,Furto Simples,Suzano,2Âª Vara Criminal,Dr(a). Milton de Oliveira Sampaio Neto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000750-53.2015.8.26.0106,Furto Simples,Caieiras,2ª Vara,DANIEL NAKAO MAIBASHI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000759-73.2021.8.26.0536,Furto Simples,Guarujá,3ª Vara Criminal,EDMILSON ROSA DOS SANTOS,365,180,Não,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,Diferente da base,Sim,Não,Não convertida
0000802-08.2018.8.26.0603,Furto Simples,Birigui,2ª Vara Criminal,Dr(a). Leonardo Lopes Sardinha,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A
0000813-15.2017.8.26.0072,Furto Simples,Bebedouro,3ª Vara,JOÃO CARLOS SAUD ABDALA FILHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000859-39.2018.8.26.0146,Furto Simples,Cordeirópolis,Vara Única,JULIANA SILVA FREITAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000875-19.2011.8.26.0152,Furto Simples,Cotia,Vara Criminal,Andressa Martins Bejarano,N/A,N/A,Não,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Diferente da base,Não,Não,Não convertida
0000967-64.2015.8.26.0537,Furto Simples,Diadema,1ª Vara Criminal,KLEBER LELES DE SOUZA,N/A,485,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000981-28.2018.8.26.0542,Furto Simples,Osasco,3ª Vara Criminal,Dr(a). MARCIA DE MELLO ALCOFORADO HERRERO,N/A,163,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000992-17.2012.8.26.0300,Furto Simples,Jardinópolis,1ª Vara,Mariana Tonoli Angeli,730,970,Sim,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,Diferente da base,Não,Sim,Não convertida
0001125-86.2021.8.26.0383,Furto Simples,Nhandeara,Vara Única,Dr(a). Kerla Karen Ramalho de Castilho Magrini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001238-74.2016.8.26.0493,Furto Simples,Regente Feijó,Vara Única,MARCEL PANGONI GUERRA,425,565,N/A,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,N/A,Não,N/A,N/A
0001281-04.2018.8.26.0408,Furto Simples,Ourinhos,2ª Vara Criminal,Dr(a). Renata Ferreira dos Santos Carvalho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A
0001287-73.2022.8.26.0536,Furto Simples,São Vicente,1ª Vara Criminal,Alexandre Torres de Aguiar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001342-92.2015.8.26.0625,Furto Simples,Taubaté,2ª Vara Criminal,Fernanda Teixeira Salviano da Rocha,425,365,Não,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Sim,Diferente da base,Não,Não,Não convertida
0001396-11.2018.8.26.0542,Furto Simples,Osasco,4ª Vara Criminal,MARIANA HORTA GREENHALGH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001450-87.2016.8.26.0625,Furto Simples,Taubaté,1ª Vara Criminal,Cláudia Calles Novellino Ballestero,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001461-66.2017.8.26.0210,Furto Simples,Guaíra,1ª Vara,ANDERSON VALENTE,365,485,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Sim,N/A,Sim,Não,Convertida
0001557-61.2017.8.26.0540,Furto Simples,Mauá,2ª Vara Criminal,Paulo Antonio Canali Campanella,375,498,Não,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Igual à base,Não,Não,Não convertida
