Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Circunstâncias Preponderantes,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Menor de 21 ou Maior de 70,Confissão Espontânea,Comparação Pena Provisória,Tráfico Privilegiado,Conversão da Pena
1502301-34.2021.8.26.0542,Tráfico de Drogas,Barueri,2ª Vara Criminal,Fabio Calheiros do Nascimento,2555,3064,Não,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,Diferente da base,Não,Não convertida
1500659-48.2021.8.26.0567,Tráfico de Drogas,Ibiúna,2ª Vara,Dra. Daniele Machado Toledo,500,416,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Não,N/A,Sim,Não convertida
1507083-56.2021.8.26.0228,Tráfico de Drogas,SÃO PAULO,6ª Vara Criminal,Erika Soares de Azevedo Mascarenhas,1825,605,Não,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Sim,Diferente da base,Não,Convertida
1500100-87.2022.8.26.0557,Tráfico de Drogas,Barretos,2ª Vara Criminal,LUCIANO DE OLIVEIRA SILVA,1825,2430,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Não,Igual à base,Não,Não convertida
1501120-38.2020.8.26.0540,Tráfico de Drogas,Mauá,1ª Vara Criminal,SANDRO RAFAEL BARBOSA PACHECO,500,166,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Não,Não,Não,Sim,Diferente da base,Não,Convertida
1500179-94.2019.8.26.0614,Tráfico de Drogas,Tambaú,Vara Única,ÉNDERSON DANILO SANTOS DE VASCONCELOS,500,250,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Não,Diferente da base,Sim,Convertida
1500192-65.2022.8.26.0072,Tráfico de Drogas,Bebedouro,2ª Vara,Luiz Fernando Silva Oliveira,1825,2485,Não,Grande quantidade ou natureza da droga,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Não,Não,Diferente da base,Não,Não convertida
1512182-07.2021.8.26.0228,Tráfico de Drogas,SÃO PAULO,23ª Vara Criminal,Dra. Cynthia Torres Cristófaro,500,166,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Não,Diferente da base,Não,Não convertida
1500624-53.2022.8.26.0050,Tráfico de Drogas,SÃO PAULO,Vara do Juizado Especial Criminal,JOSE FERNANDO STEINBERG,90,90,Não,Não,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Sim,Igual à base,Não,Não convertida
0000110-34.2018.8.26.0530,Tráfico de Drogas,Cravinhos,1ª Vara,Luiz Claudio Sartorelli,1825,705,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Sim,Igual à base,Sim,Convertida
0050336-67.2014.8.26.0050,Tráfico de Drogas,SÃO PAULO,19ª Vara Criminal,Antonio Carlos de Campos Machado Junior,N/A,N/A,N/A,N/A,Maus antecedentes,N/A,N/A,Uma condenação,N/A,Não,N/A,N/A,N/A
0001800-41.2016.8.26.0022,Tráfico de Drogas,Amparo,2ª Vara,Dr(a). Fabiola Brito do Amaral,N/A,60,Não,Não,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Não,Diferente da base,Não,Não convertida
1503245-18.2021.8.26.0548,Tráfico de Drogas,Campinas,4ª Vara Criminal,BRUNO LUIZ CASSIOLATO,1095,1490,N/A,N/A,Primário ou sem antecedentes,N/A,N/A,Uma condenação,N/A,N/A,N/A,Não,Não convertida
1504799-90.2022.8.26.0050,Tráfico de Drogas,SÃO PAULO,9ª Vara Criminal,Lilian Lage Humes,1825,1217,N/A,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Não,N/A,Não,N/A
1500667-83.2022.8.26.0019,Tráfico de Drogas,Americana,2ª Vara Criminal,EUGENIO AUGUSTO CLEMENTI JUNIOR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1505632-92.2021.8.26.0196,Tráfico de Drogas,Franca,1ª Vara Criminal,Luciano Franchi Lemes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1505148-23.2021.8.26.0408,Tráfico de Drogas,Ourinhos,1ª Vara Criminal,Flavio Augusto Reinert de Freitas,2125,605,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Sim,Sim,Diferente da base,Não,Não convertida
1500784-97.2021.8.26.0540,Tráfico de Drogas,Santo André,1ª Vara Criminal,Dr(a). Maria Sílvia Gabrielloni Feichtenberger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500305-68.2021.8.26.0552,Tráfico de Drogas,Leme,Vara Criminal,Fernanda Oliveira Silva,1800,2100,Não,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Não,N/A,Não,Não convertida
1520576-37.2020.8.26.0228,Tráfico de Drogas,SÃO PAULO,31ª Vara Criminal,Ana Lucia Fernandes Queiroga,2920,3285,N/A,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Não,Não,Não,N/A,Não,Não convertida
0001204-39.2022.8.26.0348,Tráfico de Drogas,Mauá,2ª Vara Criminal,Paulo Antonio Canali Campanella,583,1283,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Não,N/A,Não,Não convertida
1500546-71.2021.8.26.0607,Tráfico de Drogas,Tabapuã,Vara Única,Patrícia da Conceição Santos,2005,2005,Não,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Não,N/A,Não,Não convertida
1510497-62.2021.8.26.0228,Tráfico de Drogas,SÃO PAULO,17ª Vara Criminal,Paulo Fernando Deroma De Mello,N/A,1240,Sim,Grande quantidade ou natureza da droga,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Não,Sim,Diferente da base,Não,Não convertida
1502387-84.2021.8.26.0548,Tráfico de Drogas,Campinas,1ª Vara Criminal,Dr(a). PATRÍCIA SUÁREZ PAE KIM,1825,1825,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Sim,Diferente da base,Não,Não convertida
1518827-19.2019.8.26.0228,Tráfico de Drogas,SÃO PAULO,16ª Vara Criminal,Dr(a). Paulo Fernando Deroma De Mello,160,2392,Sim,Grande quantidade ou natureza da droga,Primário ou sem antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Sim,Diferente da base,Não,Não convertida
